model,seed,hidden,train_seq_len,eval_seq_len,steps,batch_size,n_keys,n_values,n_pairs,filler_prob,ordered_pairs,lr,params,train_loss_last,eval_loss,eval_acc,seconds_train,seconds_eval,run
dabsn_field,2,48,64,2000,2000,64,16,16,8,0.25,False,0.006,16507,7.181288765423233e-06,1.731726683829038e-06,1.0,74.45785117149353,5.895095348358154,dabsn_thesis_20260630_033000_keyvalue_length_ood
dabsn_field,2,48,64,3200,2000,64,16,16,8,0.25,False,0.006,16507,7.181288765423233e-06,1.2048650432916475e-06,1.0,74.45785117149353,12.505724668502808,dabsn_thesis_20260630_033000_keyvalue_length_ood
dabsn_hybrid,0,48,64,64,2000,64,16,16,8,0.25,False,0.006,16507,2.359137943130918e-05,3.3103595342254266e-05,1.0,1457.9913828372955,0.5415585041046143,dabsn_thesis_20260630_033000_keyvalue_length_ood
dabsn_hybrid,0,48,64,128,2000,64,16,16,8,0.25,False,0.006,16507,2.359137943130918e-05,1.758472171786707e-05,1.0,1457.9913828372955,0.5930747985839844,dabsn_thesis_20260630_033000_keyvalue_length_ood
dabsn_hybrid,0,48,64,256,2000,64,16,16,8,0.25,False,0.006,16507,2.359137943130918e-05,1.0694655429688282e-05,1.0,1457.9913828372955,0.813894510269165,dabsn_thesis_20260630_033000_keyvalue_length_ood
dabsn_hybrid,0,48,64,512,2000,64,16,16,8,0.25,False,0.006,16507,2.359137943130918e-05,2.5453366106376052e-05,1.0,1457.9913828372955,1.4755892753601074,dabsn_thesis_20260630_033000_keyvalue_length_ood
dabsn_hybrid,0,48,64,1024,2000,64,16,16,8,0.25,False,0.006,16507,2.359137943130918e-05,1.3002393643546384e-05,1.0,1457.9913828372955,3.3358330726623535,dabsn_thesis_20260630_033000_keyvalue_length_ood
dabsn_hybrid,0,48,64,2000,2000,64,16,16,8,0.25,False,0.006,16507,2.359137943130918e-05,2.238709021185059e-05,1.0,1457.9913828372955,9.12683629989624,dabsn_thesis_20260630_033000_keyvalue_length_ood
dabsn_hybrid,0,48,64,3200,2000,64,16,16,8,0.25,False,0.006,16507,2.359137943130918e-05,4.6615077735623345e-05,1.0,1457.9913828372955,20.816458702087402,dabsn_thesis_20260630_033000_keyvalue_length_ood
dabsn_hybrid,1,48,64,64,2000,64,16,16,8,0.25,False,0.006,16507,0.0008201465243473649,0.023573359474539757,0.9984375,1487.1367890834808,0.533381462097168,dabsn_thesis_20260630_033000_keyvalue_length_ood
dabsn_hybrid,1,48,64,128,2000,64,16,16,8,0.25,False,0.006,16507,0.0008201465243473649,0.0020107144955545664,1.0,1487.1367890834808,0.5985302925109863,dabsn_thesis_20260630_033000_keyvalue_length_ood
dabsn_hybrid,1,48,64,256,2000,64,16,16,8,0.25,False,0.006,16507,0.0008201465243473649,0.0019451348343864083,0.9984375,1487.1367890834808,0.8418011665344238,dabsn_thesis_20260630_033000_keyvalue_length_ood
dabsn_hybrid,1,48,64,512,2000,64,16,16,8,0.25,False,0.006,16507,0.0008201465243473649,0.0019435685826465487,0.9984375,1487.1367890834808,1.5014660358428955,dabsn_thesis_20260630_033000_keyvalue_length_ood
dabsn_hybrid,1,48,64,1024,2000,64,16,16,8,0.25,False,0.006,16507,0.0008201465243473649,0.0024098982103168964,0.9984375,1487.1367890834808,3.392970561981201,dabsn_thesis_20260630_033000_keyvalue_length_ood
dabsn_hybrid,1,48,64,2000,2000,64,16,16,8,0.25,False,0.006,16507,0.0008201465243473649,0.003876935690641403,0.9984375,1487.1367890834808,9.234411716461182,dabsn_thesis_20260630_033000_keyvalue_length_ood
dabsn_hybrid,1,48,64,3200,2000,64,16,16,8,0.25,False,0.006,16507,0.0008201465243473649,0.010192004963755608,0.9921875,1487.1367890834808,20.900240898132324,dabsn_thesis_20260630_033000_keyvalue_length_ood
dabsn_hybrid,2,48,64,64,2000,64,16,16,8,0.25,False,0.006,16507,6.407413479792012e-07,1.2277641872060485e-06,1.0,1504.5769300460815,0.5315861701965332,dabsn_thesis_20260630_033000_keyvalue_length_ood
dabsn_hybrid,2,48,64,128,2000,64,16,16,8,0.25,False,0.006,16507,6.407413479792012e-07,1.4244195654100622e-06,1.0,1504.5769300460815,0.5804963111877441,dabsn_thesis_20260630_033000_keyvalue_length_ood
dabsn_hybrid,2,48,64,256,2000,64,16,16,8,0.25,False,0.006,16507,6.407413479792012e-07,2.9713894491578685e-06,1.0,1504.5769300460815,0.8285596370697021,dabsn_thesis_20260630_033000_keyvalue_length_ood
dabsn_hybrid,2,48,64,512,2000,64,16,16,8,0.25,False,0.006,16507,6.407413479792012e-07,3.85191071927693e-07,1.0,1504.5769300460815,1.500063419342041,dabsn_thesis_20260630_033000_keyvalue_length_ood
dabsn_hybrid,2,48,64,1024,2000,64,16,16,8,0.25,False,0.006,16507,6.407413479792012e-07,1.0069207974083838e-06,1.0,1504.5769300460815,3.3377528190612793,dabsn_thesis_20260630_033000_keyvalue_length_ood
dabsn_hybrid,2,48,64,2000,2000,64,16,16,8,0.25,False,0.006,16507,6.407413479792012e-07,4.319417428177985e-07,1.0,1504.5769300460815,9.149605751037598,dabsn_thesis_20260630_033000_keyvalue_length_ood
dabsn_hybrid,2,48,64,3200,2000,64,16,16,8,0.25,False,0.006,16507,6.407413479792012e-07,5.919356453887303e-07,1.0,1504.5769300460815,20.834794282913208,dabsn_thesis_20260630_033000_keyvalue_length_ood
gru,0,48,64,64,2000,64,16,16,8,0.25,False,0.001,13024,2.6378726959228516,2.4295642375946045,0.1984375,54.42259740829468,0.248457670211792,dabsn_thesis_20260630_033000_keyvalue_length_ood
gru,0,48,64,128,2000,64,16,16,8,0.25,False,0.001,13024,2.6378726959228516,2.5564727783203125,0.1703125,54.42259740829468,0.32752370834350586,dabsn_thesis_20260630_033000_keyvalue_length_ood
gru,0,48,64,256,2000,64,16,16,8,0.25,False,0.001,13024,2.6378726959228516,2.8565614223480225,0.1046875,54.42259740829468,0.48602867126464844,dabsn_thesis_20260630_033000_keyvalue_length_ood
gru,0,48,64,512,2000,64,16,16,8,0.25,False,0.001,13024,2.6378726959228516,3.1532323360443115,0.075,54.42259740829468,0.8073267936706543,dabsn_thesis_20260630_033000_keyvalue_length_ood
gru,0,48,64,1024,2000,64,16,16,8,0.25,False,0.001,13024,2.6378726959228516,3.2372024059295654,0.075,54.42259740829468,1.4425935745239258,dabsn_thesis_20260630_033000_keyvalue_length_ood
gru,0,48,64,2000,2000,64,16,16,8,0.25,False,0.001,13024,2.6378726959228516,3.2841084003448486,0.0671875,54.42259740829468,2.6572699546813965,dabsn_thesis_20260630_033000_keyvalue_length_ood
gru,0,48,64,3200,2000,64,16,16,8,0.25,False,0.001,13024,2.6378726959228516,3.2286834716796875,0.078125,54.42259740829468,4.152246713638306,dabsn_thesis_20260630_033000_keyvalue_length_ood
gru,1,48,64,64,2000,64,16,16,8,0.25,False,0.001,13024,2.4305851459503174,2.488253116607666,0.1859375,54.20257019996643,0.26014113426208496,dabsn_thesis_20260630_033000_keyvalue_length_ood
gru,1,48,64,128,2000,64,16,16,8,0.25,False,0.001,13024,2.4305851459503174,2.508294105529785,0.159375,54.20257019996643,0.3454322814941406,dabsn_thesis_20260630_033000_keyvalue_length_ood
gru,1,48,64,256,2000,64,16,16,8,0.25,False,0.001,13024,2.4305851459503174,2.6560275554656982,0.146875,54.20257019996643,0.506072998046875,dabsn_thesis_20260630_033000_keyvalue_length_ood
gru,1,48,64,512,2000,64,16,16,8,0.25,False,0.001,13024,2.4305851459503174,2.8179173469543457,0.09375,54.20257019996643,0.8144898414611816,dabsn_thesis_20260630_033000_keyvalue_length_ood
gru,1,48,64,1024,2000,64,16,16,8,0.25,False,0.001,13024,2.4305851459503174,2.895505666732788,0.0984375,54.20257019996643,1.4471356868743896,dabsn_thesis_20260630_033000_keyvalue_length_ood
gru,1,48,64,2000,2000,64,16,16,8,0.25,False,0.001,13024,2.4305851459503174,3.0249428749084473,0.0921875,54.20257019996643,2.6577281951904297,dabsn_thesis_20260630_033000_keyvalue_length_ood
gru,1,48,64,3200,2000,64,16,16,8,0.25,False,0.001,13024,2.4305851459503174,3.0246853828430176,0.0921875,54.20257019996643,4.1364970207214355,dabsn_thesis_20260630_033000_keyvalue_length_ood
gru,2,48,64,64,2000,64,16,16,8,0.25,False,0.001,13024,2.5275774002075195,2.421752452850342,0.196875,54.19676756858826,0.2582437992095947,dabsn_thesis_20260630_033000_keyvalue_length_ood
gru,2,48,64,128,2000,64,16,16,8,0.25,False,0.001,13024,2.5275774002075195,2.5867130756378174,0.153125,54.19676756858826,0.33504414558410645,dabsn_thesis_20260630_033000_keyvalue_length_ood
gru,2,48,64,256,2000,64,16,16,8,0.25,False,0.001,13024,2.5275774002075195,2.779561758041382,0.10625,54.19676756858826,0.5044193267822266,dabsn_thesis_20260630_033000_keyvalue_length_ood
gru,2,48,64,512,2000,64,16,16,8,0.25,False,0.001,13024,2.5275774002075195,2.990957260131836,0.115625,54.19676756858826,0.8233001232147217,dabsn_thesis_20260630_033000_keyvalue_length_ood
gru,2,48,64,1024,2000,64,16,16,8,0.25,False,0.001,13024,2.5275774002075195,3.0312087535858154,0.11875,54.19676756858826,1.4559998512268066,dabsn_thesis_20260630_033000_keyvalue_length_ood
gru,2,48,64,2000,2000,64,16,16,8,0.25,False,0.001,13024,2.5275774002075195,3.0719738006591797,0.078125,54.19676756858826,2.6777546405792236,dabsn_thesis_20260630_033000_keyvalue_length_ood
gru,2,48,64,3200,2000,64,16,16,8,0.25,False,0.001,13024,2.5275774002075195,3.1829376220703125,0.065625,54.19676756858826,4.141578197479248,dabsn_thesis_20260630_033000_keyvalue_length_ood
lstm,0,48,64,64,2000,64,16,16,8,0.25,False,0.001,17104,2.658202648162842,2.5764663219451904,0.1578125,55.43995666503906,0.2490708827972412,dabsn_thesis_20260630_033000_keyvalue_length_ood
lstm,0,48,64,128,2000,64,16,16,8,0.25,False,0.001,17104,2.658202648162842,2.6496779918670654,0.1421875,55.43995666503906,0.33005380630493164,dabsn_thesis_20260630_033000_keyvalue_length_ood
lstm,0,48,64,256,2000,64,16,16,8,0.25,False,0.001,17104,2.658202648162842,2.799241542816162,0.1046875,55.43995666503906,0.49196720123291016,dabsn_thesis_20260630_033000_keyvalue_length_ood
lstm,0,48,64,512,2000,64,16,16,8,0.25,False,0.001,17104,2.658202648162842,2.99485182762146,0.071875,55.43995666503906,0.812199592590332,dabsn_thesis_20260630_033000_keyvalue_length_ood
lstm,0,48,64,1024,2000,64,16,16,8,0.25,False,0.001,17104,2.658202648162842,3.1391632556915283,0.065625,55.43995666503906,1.4478633403778076,dabsn_thesis_20260630_033000_keyvalue_length_ood
lstm,0,48,64,2000,2000,64,16,16,8,0.25,False,0.001,17104,2.658202648162842,3.1069867610931396,0.0625,55.43995666503906,2.6622283458709717,dabsn_thesis_20260630_033000_keyvalue_length_ood
lstm,0,48,64,3200,2000,64,16,16,8,0.25,False,0.001,17104,2.658202648162842,3.1664998531341553,0.046875,55.43995666503906,4.149893522262573,dabsn_thesis_20260630_033000_keyvalue_length_ood
lstm,1,48,64,64,2000,64,16,16,8,0.25,False,0.001,17104,2.6537270545959473,2.580474615097046,0.153125,54.074503660202026,0.25782227516174316,dabsn_thesis_20260630_033000_keyvalue_length_ood
lstm,1,48,64,128,2000,64,16,16,8,0.25,False,0.001,17104,2.6537270545959473,2.6470696926116943,0.1375,54.074503660202026,0.32666683197021484,dabsn_thesis_20260630_033000_keyvalue_length_ood
lstm,1,48,64,256,2000,64,16,16,8,0.25,False,0.001,17104,2.6537270545959473,2.6779625415802,0.146875,54.074503660202026,0.4817471504211426,dabsn_thesis_20260630_033000_keyvalue_length_ood
lstm,1,48,64,512,2000,64,16,16,8,0.25,False,0.001,17104,2.6537270545959473,2.7461068630218506,0.103125,54.074503660202026,0.8124227523803711,dabsn_thesis_20260630_033000_keyvalue_length_ood
lstm,1,48,64,1024,2000,64,16,16,8,0.25,False,0.001,17104,2.6537270545959473,2.765342950820923,0.0890625,54.074503660202026,1.450883388519287,dabsn_thesis_20260630_033000_keyvalue_length_ood
lstm,1,48,64,2000,2000,64,16,16,8,0.25,False,0.001,17104,2.6537270545959473,2.7856061458587646,0.0609375,54.074503660202026,2.6566340923309326,dabsn_thesis_20260630_033000_keyvalue_length_ood
lstm,1,48,64,3200,2000,64,16,16,8,0.25,False,0.001,17104,2.6537270545959473,2.7896668910980225,0.0875,54.074503660202026,4.171544313430786,dabsn_thesis_20260630_033000_keyvalue_length_ood
lstm,2,48,64,64,2000,64,16,16,8,0.25,False,0.001,17104,2.6233744621276855,2.6099088191986084,0.140625,54.09807872772217,0.25166749954223633,dabsn_thesis_20260630_033000_keyvalue_length_ood
lstm,2,48,64,128,2000,64,16,16,8,0.25,False,0.001,17104,2.6233744621276855,2.659175157546997,0.1328125,54.09807872772217,0.32892417907714844,dabsn_thesis_20260630_033000_keyvalue_length_ood
