model,seed,hidden,vocab,train_str_len,eval_str_len,steps,batch_size,lr,params,train_acc_last,eval_loss,eval_acc,seconds_train,seconds_eval,run
dabsn_seq,2,48,64,64,512,1000,48,0.01,21738,0.9856770634651184,0.026068593934178354,0.99482421875,14.633762836456299,0.11866950988769531,dabsn_thesis_20260630_012013_copy_length_ood
dabsn_seq,2,48,64,64,1024,1000,48,0.01,21738,0.9856770634651184,0.06240559667348862,0.990234375,14.633762836456299,0.4378659725189209,dabsn_thesis_20260630_012013_copy_length_ood
dabsn_seq,2,48,64,64,2048,1000,48,0.01,21738,0.9856770634651184,0.21705513596534728,0.965875244140625,14.633762836456299,1.797814130783081,dabsn_thesis_20260630_012013_copy_length_ood
dabsn_seq,2,48,64,64,3200,1000,48,0.01,21738,0.9856770634651184,0.4714167892932892,0.9203671813011169,14.633762836456299,4.329906225204468,dabsn_thesis_20260630_012013_copy_length_ood
dabsn_field,0,48,64,64,64,1000,48,0.01,21739,1.0,0.00012194561662681735,0.9999348998069764,14.693655729293823,0.01850104331970215,dabsn_thesis_20260630_012013_copy_length_ood
dabsn_field,0,48,64,64,128,1000,48,0.01,21739,1.0,0.0003385658940487701,0.99990234375,14.693655729293823,0.029920578002929688,dabsn_thesis_20260630_012013_copy_length_ood
dabsn_field,0,48,64,64,256,1000,48,0.01,21739,1.0,0.00014648706383013632,0.999951171875,14.693655729293823,0.038149356842041016,dabsn_thesis_20260630_012013_copy_length_ood
dabsn_field,0,48,64,64,512,1000,48,0.01,21739,1.0,0.00030057182884775103,0.99990234375,14.693655729293823,0.11887550354003906,dabsn_thesis_20260630_012013_copy_length_ood
dabsn_field,0,48,64,64,1024,1000,48,0.01,21739,1.0,0.0015050627174787224,0.9995849609375,14.693655729293823,0.43999457359313965,dabsn_thesis_20260630_012013_copy_length_ood
dabsn_field,0,48,64,64,2048,1000,48,0.01,21739,1.0,0.006089458428323269,0.998101806640625,14.693655729293823,1.8044226169586182,dabsn_thesis_20260630_012013_copy_length_ood
dabsn_field,0,48,64,64,3200,1000,48,0.01,21739,1.0,0.018684829398989678,0.9946171879768372,14.693655729293823,4.366024017333984,dabsn_thesis_20260630_012013_copy_length_ood
dabsn_field,1,48,64,64,64,1000,48,0.01,21739,1.0,8.142502892951597e-05,1.0,14.736239671707153,0.01855301856994629,dabsn_thesis_20260630_012013_copy_length_ood
dabsn_field,1,48,64,64,128,1000,48,0.01,21739,1.0,0.00022280485873125145,0.9999023318290711,14.736239671707153,0.029846668243408203,dabsn_thesis_20260630_012013_copy_length_ood
dabsn_field,1,48,64,64,256,1000,48,0.01,21739,1.0,0.00036491059690888503,0.99990234375,14.736239671707153,0.038301944732666016,dabsn_thesis_20260630_012013_copy_length_ood
dabsn_field,1,48,64,64,512,1000,48,0.01,21739,1.0,0.0005596632690867409,0.9998779296875,14.736239671707153,0.11881518363952637,dabsn_thesis_20260630_012013_copy_length_ood
dabsn_field,1,48,64,64,1024,1000,48,0.01,21739,1.0,0.0011702922522090376,0.9996826171875,14.736239671707153,0.43990445137023926,dabsn_thesis_20260630_012013_copy_length_ood
dabsn_field,1,48,64,64,2048,1000,48,0.01,21739,1.0,0.0059187720529735085,0.9982421875,14.736239671707153,1.8043432235717773,dabsn_thesis_20260630_012013_copy_length_ood
dabsn_field,1,48,64,64,3200,1000,48,0.01,21739,1.0,0.018110920488834382,0.9947890758514404,14.736239671707153,4.3372273445129395,dabsn_thesis_20260630_012013_copy_length_ood
dabsn_field,2,48,64,64,64,1000,48,0.01,21739,1.0,0.0006034186418560239,0.9999348998069764,15.096434831619263,0.018879175186157227,dabsn_thesis_20260630_012013_copy_length_ood
dabsn_field,2,48,64,64,128,1000,48,0.01,21739,1.0,0.0006846686927019618,0.9999348878860473,15.096434831619263,0.02972865104675293,dabsn_thesis_20260630_012013_copy_length_ood
dabsn_field,2,48,64,64,256,1000,48,0.01,21739,1.0,0.0004192793290712871,0.999853515625,15.096434831619263,0.0381464958190918,dabsn_thesis_20260630_012013_copy_length_ood
dabsn_field,2,48,64,64,512,1000,48,0.01,21739,1.0,0.001085351177607663,0.999755859375,15.096434831619263,0.11896777153015137,dabsn_thesis_20260630_012013_copy_length_ood
