model,seed,hidden,train_seq_len,eval_seq_len,steps,batch_size,n_keys,n_values,n_pairs,lr,params,train_loss_last,eval_loss,eval_acc,seconds_train,seconds_eval,run
dabsn_hybrid,0,48,64,256,1000,64,16,16,8,0.006,16507,9.387376849190332e-06,4.400722013997438e-06,1.0,72.17056679725647,1.6966795921325684,dabsn_thesis_20260630_012013_mqar_length_ood
dabsn_hybrid,0,48,64,512,1000,64,16,16,8,0.006,16507,9.387376849190332e-06,3.3526713878018198e-06,1.0,72.17056679725647,3.335556983947754,dabsn_thesis_20260630_012013_mqar_length_ood
dabsn_hybrid,0,48,64,1024,1000,64,16,16,8,0.006,16507,9.387376849190332e-06,3.0991310950412297e-06,1.0,72.17056679725647,7.205990552902222,dabsn_thesis_20260630_012013_mqar_length_ood
dabsn_hybrid,0,48,64,2000,1000,64,16,16,8,0.006,16507,9.387376849190332e-06,2.5504484938210225e-06,1.0,72.17056679725647,16.99777913093567,dabsn_thesis_20260630_012013_mqar_length_ood
dabsn_hybrid,0,48,64,3200,1000,64,16,16,8,0.006,16507,9.387376849190332e-06,2.5558595893926394e-06,1.0,72.17056679725647,34.01211094856262,dabsn_thesis_20260630_012013_mqar_length_ood
dabsn_hybrid,1,48,64,64,1000,64,16,16,8,0.006,16507,2.3028869691188447e-06,2.3047968170430976e-06,1.0,72.1210069656372,0.6350100040435791,dabsn_thesis_20260630_012013_mqar_length_ood
dabsn_hybrid,1,48,64,128,1000,64,16,16,8,0.006,16507,2.3028869691188447e-06,1.2549798441341408e-06,1.0,72.1210069656372,0.9601726531982422,dabsn_thesis_20260630_012013_mqar_length_ood
dabsn_hybrid,1,48,64,256,1000,64,16,16,8,0.006,16507,2.3028869691188447e-06,7.93480285210535e-07,1.0,72.1210069656372,1.6645419597625732,dabsn_thesis_20260630_012013_mqar_length_ood
dabsn_hybrid,1,48,64,512,1000,64,16,16,8,0.006,16507,2.3028869691188447e-06,4.764606529761295e-07,1.0,72.1210069656372,3.3682994842529297,dabsn_thesis_20260630_012013_mqar_length_ood
dabsn_hybrid,1,48,64,1024,1000,64,16,16,8,0.006,16507,2.3028869691188447e-06,3.5678893937074465e-07,1.0,72.1210069656372,7.180025100708008,dabsn_thesis_20260630_012013_mqar_length_ood
dabsn_hybrid,1,48,64,2000,1000,64,16,16,8,0.006,16507,2.3028869691188447e-06,2.673822166343598e-07,1.0,72.1210069656372,16.9835684299469,dabsn_thesis_20260630_012013_mqar_length_ood
dabsn_hybrid,1,48,64,3200,1000,64,16,16,8,0.006,16507,2.3028869691188447e-06,2.418640818291351e-07,1.0,72.1210069656372,33.908313035964966,dabsn_thesis_20260630_012013_mqar_length_ood
dabsn_hybrid,2,48,64,64,1000,64,16,16,8,0.006,16507,2.2896551854501013e-06,2.3748027956571605e-06,1.0,72.5542311668396,0.6263899803161621,dabsn_thesis_20260630_012013_mqar_length_ood
dabsn_hybrid,2,48,64,128,1000,64,16,16,8,0.006,16507,2.2896551854501013e-06,1.6101217397590517e-06,1.0,72.5542311668396,0.953798770904541,dabsn_thesis_20260630_012013_mqar_length_ood
dabsn_hybrid,2,48,64,256,1000,64,16,16,8,0.006,16507,2.2896551854501013e-06,3.1884968507256415e-06,1.0,72.5542311668396,1.6667726039886475,dabsn_thesis_20260630_012013_mqar_length_ood
dabsn_hybrid,2,48,64,512,1000,64,16,16,8,0.006,16507,2.2896551854501013e-06,3.2027114798438562e-06,1.0,72.5542311668396,3.295880079269409,dabsn_thesis_20260630_012013_mqar_length_ood
dabsn_hybrid,2,48,64,1024,1000,64,16,16,8,0.006,16507,2.2896551854501013e-06,3.3885902439578786e-06,1.0,72.5542311668396,7.216368675231934,dabsn_thesis_20260630_012013_mqar_length_ood
dabsn_hybrid,2,48,64,2000,1000,64,16,16,8,0.006,16507,2.2896551854501013e-06,4.748238029606e-06,1.0,72.5542311668396,16.88128161430359,dabsn_thesis_20260630_012013_mqar_length_ood
